"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
pco_q4a,patient_centered_outcomes,"NOW, WE WOULD LIKE TO KNOW WHAT YOU EXPECT YOUR TREATMENT TO DO FOR YOU. 

On a scale of 0 (none) to 10 (worst imaginable), please indicate the levels you expect following treatment.",radio,Pain,"0, 0 none | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 worst imaginable",,,,,,,,,,pco_q4,,
pco_q4b,patient_centered_outcomes,,radio,"Fatigue (or tiredness)","0, 0 none | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 worst imaginable",,,,,,,,,,pco_q4,,
pco_q4c,patient_centered_outcomes,,radio,"Emotional distress","0, 0 none | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 worst imaginable",,,,,,,,,,pco_q4,,
pco_q4d,patient_centered_outcomes,,radio,"Interference with daily activities","0, 0 none | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 worst imaginable",,,,,,,,,,pco_q4,,
pco_q5,patient_centered_outcomes,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Finally, we would like to understand how </span>important <span style=""font-weight: normal;"">it is for you to see improvement in your pain, fatigue, emotional distress, and interference following treatment. </span><br><br><span style=""font-weight: normal;"">On a scale of </span><span style=""text-decoration: underline;"">0 (not at all important) to 100 (most important)</span><span style=""font-weight: normal;""> please indicate how important it is for you to see improvement in your pain, fatigue (or tiredness), emotional distress, interference with daily activities...</span></p></div>",,,,,,,,,,,,,
pco_q5_pain,patient_centered_outcomes,,slider,Pain,"0, Not at all important |  | 100, Most important",,number,,,,,,RH,,,,
pco_q5_tiredness,patient_centered_outcomes,,slider,"Fatigue (or tiredness) ","0, Not at all important |  | 100, Most important",,number,,,,,,RH,,,,
pco_q5_distress,patient_centered_outcomes,,slider,"Emotional Distress","0, Not at all important |  | 100, Most important",,number,,,,,,RH,,,,
pco_q5_interference,patient_centered_outcomes,,slider,"Interference with daily activities ","0, Not at all important |  | 100, Most important",,number,,,,,,RH,,,,
hrv_bp_trial_1_systolic,hrv_bp,,text,"Systolic BP (Trial 1)",,"Trial 1",,,,,,,,,,,
hrv_bp_trial_1_diastolic,hrv_bp,,text,"Diastolic BP (Trial 1)",,"Trial 1",,,,,,,,,,,
hrv_bp_trial_1_map,hrv_bp,,text,"Mean AP (Trial 1)",,"Trial 1",,,,,,,,,,,
hrv_bp_trial_1_hr,hrv_bp,,text,"Heart Rate (Trial 1)",,"Trial 1",,,,,,,,,,,
hrv_bp_trial_2_systolic,hrv_bp,,text,"Systolic BP (Trial 2)",,"Trial 2",,,,,,,,,,,
hrv_bp_trial_2_diastolic,hrv_bp,,text,"Diastolic BP (Trial 2)",,"Trial 2",,,,,,,,,,,
hrv_bp_trial_2_map,hrv_bp,,text,"Mean AP (Trial 2)",,"Trial 2",,,,,,,,,,,
hrv_bp_trial_2_hr,hrv_bp,,text,"Heart Rate (Trial 2)",,"Trial 2",,,,,,,,,,,
hrv_bp_trial_3_systolic,hrv_bp,,text,"Systolic BP (Trial 3)",,"Trial 3",,,,,,,,,,,
hrv_bp_trial_3_diastolic,hrv_bp,,text,"Diastolic BP (Trial 3)",,"Trial 3",,,,,,,,,,,
hrv_bp_trial_3_map,hrv_bp,,text,"Mean AP (Trial 3)",,"Trial 3",,,,,,,,,,,
hrv_bp_trial_3_hr,hrv_bp,,text,"Heart Rate (Trial 3)",,"Trial 3",,,,,,,,,,,
programming_note,copcs," ",descriptive,"<div class=""rich-text-field-label""><p>You are seeing this because you are in the data entry form. </p> <p>If you are filling this out with a patient, it is advised that you use the survey link to complete the COPCS. The data entry form shows all of the <span style=""color: #8c1515;"">programming notes</span> and <span style=""color: #8c1515;"">intermediate calculations</span>.</p> <p> </p> <p style=""background-color: #fafa6e;"">Yellow items are not shown on the survey or data entry form</p> <p> </p> <p style=""background-color: #bcecef;"">Blue items are demographic and initial data gathering questions.</p> <p> </p> <p style=""background-color: #cffbbb;"">Green items are diagnostic.</p></div>",,,,,,,,,,,,," @HIDDEN-SURVEY"
title_note,copcs,,descriptive,"<div class=""rich-text-field-label""><p>This logo is shown at the top of each page on the survey. <strong>(set in the survey settings)</strong></p></div>",,,,,,,,,,,,," @HIDDEN-SURVEY"
welcome,copcs,,descriptive,"<div class=""rich-text-field-label""><p style=""background-color: #fafa6e;""> </p> <p style=""text-align: left;""><strong>This is the welcome screen shown (set in the survey settings)</strong></p> <p>This survey is designed to identify pain conditions that often occur together in the same individual.</p> <ul> <li>The first part of the survey presents a body map and asks you to indicate the locations where you experience pain.</li> <li>Based upon where you indicate the presence of pain, additional questions about symptoms will be asked to help identify the type of pain condition(s) that you are experiencing in each location. You may be asked about more than one condition even if you have pain in only one area of the body.</li> </ul> <p>Please complete this survey on your own in a quiet location. Depending on your answers the survey should take 10-30 minutes to complete. Thank you.</p></div>",,,,,,,,,,,,," @HIDDEN"
customize_1,copcs,,descriptive,"<div class=""rich-text-field-label""><p style=""background-color: #fafa6e;"">Customize the next section to capture the data you need to link the patient to the COPCS results.</p></div>",,,,,,,,,,,,," @HIDDEN"
copcs_first_name,copcs,"<div class=""rich-text-field-label""></div>",text,"<div class=""rich-text-field-label""><p style=""background-color: #bcecef;""><span style=""font-weight: normal;"">First name:</span></p></div>",,,,,,y,,y,,,,,
copcs_last_name,copcs,,text,"<div class=""rich-text-field-label""><p style=""background-color: #bcecef;""><span style=""font-weight: normal;"">Last name:</span></p></div>",,,,,,y,,y,,,,,
copcs_demo_sex,copcs,,radio,"<div class=""rich-text-field-label""><p style=""background-color: #bcecef;""><span style=""font-weight: normal;"">What is your biological sex?</span></p></div>","1, Male|2, Female",,,,,,,y,LV,,,,
image_new,copcs,"<div class=""rich-text-field-label""></div>",descriptive,"<div class=""rich-text-field-label""><p style=""background-color: #bcecef; line-height: normal; margin: 3.75pt -1.0pt .0001pt 5.0pt;""><strong><u>Instructions</u></strong>: <span style=""font-weight: normal;"">Select each area of the body map where you have had pain or tenderness over the <strong><u>past 30 days</u></strong>. If you have had no pain in the <strong><u>past 30 days</u></strong> then leave the body map blank.</span></p></div>",,,,,,,,,,,,,
bodymap1,copcs,,checkbox,,"copcs01, 1|copcs02, 2|copcs03, 3|copcs04, 4|copcs05, 5",,,,,,,,LH,,,,
bodymap2,copcs,,checkbox,,"copcs06, 6|copcs07, 7|copcs08, 8|copcs09, 9|copcs10, 10",,,,,,,,LH,,,,
bodymap3,copcs,,checkbox,,"copcs11, 11|copcs12, 12|copcs13, 13|copcs14, 14|copcs15, 15",,,,,,,,LH,,,,
bodymap4,copcs,,checkbox,,"copcs16, 16|copcs17, 17|copcs18, 18|copcs19, 19|copcs20, 20",,,,,,,,LH,,,,
bodymap5,copcs,,checkbox,,"copcs21, 21|copcs22, 22|copcs23, 23",,,,,,,,LH,,,,
copcs_persistentfatigue,copcs,"<div class=""rich-text-field-label""><p style=""background-color: #bcecef;""><span style=""font-weight: normal;"">Please read the following list of symptoms.</span></p> <p style=""background-color: #bcecef;""><span style=""font-weight: normal;"">3. During the </span><span style=""text-decoration: underline;"">past 30 days</span><span style=""font-weight: normal;""> have you had any:</span></p></div>",radio,"<div class=""rich-text-field-label""><p style=""background-color: #bcecef;""><span style=""font-weight: normal;"">a. persistent fatigue?</span></p></div>","0, No|1, Yes",,,,,,,y,LV,,,,
copcs_sensitivitysounds,copcs,,radio,"<div class=""rich-text-field-label""><p style=""background-color: #bcecef;""><span style=""font-weight: normal;"">b. sensitivity to or difficulty tolerating sounds?</span></p></div>","0, No|1, Yes",,,,,,,y,LV,,,,
copcs_sensitivityodors,copcs,,radio,"<div class=""rich-text-field-label""><p style=""background-color: #bcecef;""><span style=""font-weight: normal;"">c. sensitivity to or difficulty tolerating odors?</span></p></div>","0, No|1, Yes",,,,,,,y,LV,,,,
copcs_sensitivitylights,copcs,,radio,"<div class=""rich-text-field-label""><p style=""background-color: #bcecef;""><span style=""font-weight: normal;"">d. sensitivity to or difficulty tolerating bright lights?</span></p></div>","0, No|1, Yes",,,,,,,y,LV,,,,
copcs_sensivitychemicals,copcs,,radio,"<div class=""rich-text-field-label""><p style=""background-color: #bcecef;""><span style=""font-weight: normal;"">e. sensitivity to or difficulty tolerating certain chemicals, such as perfumes, laundry detergents, gasoline and others?</span></p></div>","0, No|1, Yes",,,,,,,y,LV,,,,
copcs_female_1,copcs," ",descriptive,"<div class=""rich-text-field-label""><p style=""background-color: #bcecef;""><span style=""font-weight: normal;"">The next question will ask about symptoms in your genital and rectal area.</span></p></div>",,,,,,,"[copcs_demo_sex] = '2'",,,,,,
copcs_femalegenitalpain,copcs,,radio,"<div class=""rich-text-field-label""><p style=""background-color: #bcecef;""><span style=""font-weight: normal;"">During the <strong><u>past 30 days </u></strong>have you had any genital pain or discomfort in the shaded area? </span></p></div>","0, No|1, Yes",,,,,,"[copcs_demo_sex] = '2'",y,LV,,,,
copcs_endodiagnosis,copcs,,radio,"<div class=""rich-text-field-label""><p style=""background-color: #bcecef;""><span style=""font-weight: normal;""><span style=""color: #8c1515;""><span style=""color: #000000;"">g.</span> </span>Have you <strong><u>ever</u></strong> been diagnosed with endometriosis?</span></p></div>","0, No|1, Yes",,,,,,"[copcs_demo_sex] = '2'",y,LV,,,,
pg6_intro,copcs,"<div class=""rich-text-field-label""></div>",descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #CFFBBB; height: 10px; width: 100%;""> </div> <p style=""text-align: center;"">Based upon your responses to the previous screening questions</p> <p style=""text-align: center;"">(i.e., body map and questions) you will now be presented</p> <p style=""text-align: center;"">with some diagnostic questions associated with</p> <p style=""text-align: center;"">chronic pain conditions.</p></div>",,,,,,,,,,,,,
copcs_tmd_leftjaw1,copcs,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">WPI Scoring - Not shown on survey</span></p></div>",calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region 1</span><br /><span style=""color: #8C1515;"">Left Jaw</span></p></div>","if(
    [bodymap1(copcs03)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_tmd_rightjaw2,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region 2</span><br /><span style=""color: #8C1515;"">Right Jaw</span></p></div>","if(
    [bodymap1(copcs02)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_fm_region_a_shoulderleft3,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region A 3</span><br /><span style=""color: #8C1515;"">Left Shoulder</span></p></div>","if(
    [bodymap2(copcs07)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_fm_region_a_upperarmleft4,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region A 4</span><br /><span style=""color: #8C1515;"">Upper Left Arm</span></p></div>","if(
    [bodymap2(copcs09)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_fm_region_a_lowerarmleft5,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region A 5</span><br /><span style=""color: #8C1515;"">Lower Left Arm</span></p></div>","if(
    [bodymap3(copcs12)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_fm_region_b_shoulderright6,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region B 6</span><br /><span style=""color: #8C1515;"">Right Shoulder</span></p></div>","if(
    [bodymap1(copcs05)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_fm_region_b_upperarmright7,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region B 7</span><br /><span style=""color: #8C1515;"">Upper Right Arm</span></p></div>","if(
    [bodymap2(copcs08)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_fm_region_b_lowerarmright8,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region B 8</span><br /><span style=""color: #8C1515;"">Lower Right Arm</span></p></div>","if(
    [bodymap2(copcs10)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_fm_region_c_hipleft9,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region C 9</span><br /><span style=""color: #8C1515;"">Left Hip</span></p></div>","if(
    [bodymap3(copcs15)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_fm_region_c_upperlegleft10,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region C 10</span><br /><span style=""color: #8C1515;"">Upper Left Leg</span></p></div>","if(
    [bodymap4(copcs17)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_fm_region_c_lowerlegleft11,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region C 11</span><br /><span style=""color: #8C1515;"">Lower Left Leg</span></p></div>","if(
    [bodymap4(copcs19)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_fm_region_d_hipright12,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region D 12</span><br /><span style=""color: #8C1515;"">Right Hip</span></p></div>","if(
    [bodymap3(copcs13)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_fm_region_d_upperlegright13,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region D 13</span><br /><span style=""color: #8C1515;"">Upper Right Leg</span></p></div>","if(
    [bodymap4(copcs16)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_fm_region_d_lowerlegright14,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region D 14</span><br /><span style=""color: #8C1515;"">Lower Right Leg</span></p></div>","if(
    [bodymap4(copcs18)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_fm_region_e_neck15,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region Non-FM 15</span><br /><span style=""color: #8C1515;"">Neck</span></p></div>","if(
    [bodymap1(copcs04)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_fm_region_e_upperback16,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region E 16</span><br /><span style=""color: #8C1515;"">Upper Back</span></p></div>","if(
    [bodymap5(copcs21)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_fm_region_e_lowerback17,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region E 17</span><br /><span style=""color: #8C1515;"">Lower Back</span></p></div>","if(
    [bodymap5(copcs22)]
    =1,1,
        if(
        [bodymap5(copcs23)]
        =1,1,0)
)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_clbp_chest18,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region Non-FM 18</span><br /><span style=""color: #8C1515;"">Chest</span></p></div>","if(
    [bodymap2(copcs06)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_clbp_abdomen19,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region Non-FM 19</span><br /><span style=""color: #8C1515;"">Abdomen</span><br /><br /></p></div>","if(
    [bodymap3(copcs11)]
    =1,1,0)",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_paintender_7d_wpiscore,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">SUM OF PAIN LOCATIONS 1-19, 1 POINT EACH, 19 POSSIBLE POINTS</span></p> <p><span style=""color: #8C1515;"">PROGRAMMING SPEC: ALL 76 BODY MAPS ARE <strong>INCLUDED IN THE CALC. OF WPI</strong>; # REGIONS ONLY USE THE ONES LISTED ABOVE</span></p></div>","[copcs_tmd_leftjaw1]+
[copcs_tmd_rightjaw2]+
[copcs_fm_region_a_shoulderleft3]+
[copcs_fm_region_a_upperarmleft4]+
[copcs_fm_region_a_lowerarmleft5]+
[copcs_fm_region_b_shoulderright6]+
[copcs_fm_region_b_upperarmright7]+
[copcs_fm_region_b_lowerarmright8]+
[copcs_fm_region_c_hipleft9]+
[copcs_fm_region_c_upperlegleft10]+
[copcs_fm_region_c_lowerlegleft11]+
[copcs_fm_region_d_hipright12]+
[copcs_fm_region_d_upperlegright13]+
[copcs_fm_region_d_lowerlegright14]+
[copcs_fm_region_e_neck15]+
[copcs_fm_region_e_upperback16]+
[copcs_fm_region_e_lowerback17]+
[copcs_clbp_chest18]+
[copcs_clbp_abdomen19]",WPI,,,,,,,,,,," @HIDDEN-SURVEY"
region_a,copcs,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Sum of Regions - Not shown on survey</span></p></div>",calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region A</span></p></div>","if(
    [bodymap2(copcs07)]=1,1,
    if(
        [bodymap2(copcs09)]=1,1,
        if(
            [bodymap3(copcs12)]=1,1,0
)))",,,,,,,,,,,," @HIDDEN-SURVEY"
region_b,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region B</span></p></div>","if(
[bodymap1(copcs05)]=1,1,
if(
[bodymap2(copcs08)]=1,1,
if(
[bodymap2(copcs10)]=1,1,0
)))",,,,,,,,,,,," @HIDDEN-SURVEY"
region_c,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region C</span></p></div>","if(
[bodymap3(copcs15)]
=1,1,
if(
[bodymap4(copcs17)]
=1,1,
if(
[bodymap4(copcs19)]
=1,1,0
)))",,,,,,,,,,,," @HIDDEN-SURVEY"
region_d,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">Region D</span></p></div>","if(
[bodymap3(copcs13)]
=1,1,
if(
[bodymap4(copcs16)]
=1,1,
if(
[bodymap4(copcs18)]
=1,1,0
)))",,,,,,,,,,,," @HIDDEN-SURVEY"
region_e,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8c1515;"">Region E</span></p></div>","if(
[bodymap5(copcs21)]
=1,1,
if(
[bodymap5(copcs22)]
=1,1,
if(
[bodymap5(copcs23)]
=1,1,0
)))",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_paintender_7d_numregions,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">NUMBER OF REGIONS PRESENT, A-E <u>(DOES NOT INCLUDE THE JAW, CHEST, OR ABDOMEN IN COUNT)</u> 0-5 POSSIBLE REGIONS</span></p></div>",[region_a]+[region_b]+[region_c]+[region_d]+[region_e],,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_sss_pastweek_fatigue,copcs,"<div class=""rich-text-field-label""><p style=""background-color: #cffbbb; margin-bottom: 0in; line-height: normal;""><span style=""font-weight: normal;"">2. Using the scale below, indicate for each item how problematic each symptom was over the </span><span style=""text-decoration: underline;"">past week</span><span style=""font-weight: normal;""> by checking the appropriate box.</span></p> <ul> <li><span style=""font-weight: normal;"">No problem</span></li> <li><span style=""font-weight: normal;"">Slight or mild problems (e.g., generally mild or intermittent)</span></li> <li><span style=""font-weight: normal;"">Moderate (e.g., considerable problems; often present and/or at a moderate level)</span></li> <li><span style=""font-weight: normal;"">Severe (e.g., pervasive, continuous, life-disturbing problems)</span></li> </ul></div>",radio,"<div class=""rich-text-field-label""><p style=""background-color: #cffbbb;""><span style=""font-weight: normal;"">a. Fatigue</span></p></div>","0, No problem|1, Slight or mild problems|2, Moderate|3, Severe",,,,,,,y,LV,,,,
copcs_sss_7d_troublethinking,copcs,,radio,"<div class=""rich-text-field-label""><p style=""background-color: #cffbbb;""><span style=""font-weight: normal;"">b. Cognitive symptoms (e.g., trouble thinking or remembering)</span></p></div>","0, No problem|1, Slight or mild problems|2, Moderate|3, Severe",,,,,,,y,LV,,,,
copcs_sss_pastweek_unrefreshed,copcs,,radio,"<div class=""rich-text-field-label""><p style=""background-color: #cffbbb;""><span style=""font-weight: normal;"">c. Waking up tired (unrefreshed)</span></p></div>","0, No problem|1, Slight or mild problems|2, Moderate|3, Severe",,,,,,,y,LV,,,,
copcs_sss_6m_painlowabdomen,copcs,"<div class=""rich-text-field-label""><p style=""background-color: #cffbbb; margin-bottom: 0in; line-height: normal;""><span style=""font-weight: normal;"">3. During the </span><span style=""text-decoration: underline;"">past 6 months</span><span style=""font-weight: normal;""> have you had any of the following symptoms?</span></p></div>",radio,"<div class=""rich-text-field-label""><p style=""background-color: #cffbbb;""><span style=""font-weight: normal;"">a. Pain or cramps in lower abdomen</span></p></div>","0, No|1, Yes",,,,,,,y,LV,,,,
copcs_sss_past6month_depression,copcs,,radio,"<div class=""rich-text-field-label""><p style=""background-color: #cffbbb;""><span style=""font-weight: normal;"">b. Depression</span></p></div>","0, No|1, Yes",,,,,,,y,LV,,,,
copcs_sss_past6month_headache,copcs,,radio,"<div class=""rich-text-field-label""><p style=""background-color: #cffbbb;""><span style=""font-weight: normal;"">c. Headache</span></p></div>","0, No|1, Yes",,,,,,,y,LV,,,,
copcs_sss_sumscore,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8C1515;"">SSS Sum Score</span><br /><span style=""color: #8C1515;"">SUM OF 2A, 2B, 2C, 3A, 3B, 3C; 12 POSSIBLE POINTS</span></p></div>","sum([copcs_sss_pastweek_fatigue],
[copcs_sss_7d_troublethinking],
[copcs_sss_pastweek_unrefreshed],
[copcs_sss_6m_painlowabdomen],
[copcs_sss_past6month_depression],
[copcs_sss_past6month_headache])",SSS,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_fm_present3months,copcs,,radio,"<div class=""rich-text-field-label""><p style=""background-color: #cffbbb; margin-bottom: 0in; line-height: normal;""><span style=""font-weight: normal;"">4. If you indicated having any of the symptoms on the previous 2 pages (e.g., fatigue, cognitive, waking up tired, pain in the abdomen, depression or headache), have they been generally present for </span><span style=""text-decoration: underline;"">at least 3 months</span><span style=""font-weight: normal;"">?</span></p></div>","0, No|1, Yes",,,,,,,y,LV,,,,
new_copcs_fm_box,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8c1515;"">FM Box</span></p> <p><span style=""color: #8c1515;"">IF WPI ≥7 & SSS ≥ 5, AND REGIONS =4 OR 5, AND 4 = YES OR IF WPI =4-6 & SSS ≥9, AND REGIONS=4 OR 5, AND 4 = YES, CHECK ""FM"" BOX.</span></p> <p> </p> <p><span style=""color: #8c1515;"">Condition 1:</span></p> <p><span style=""color: #8c1515;"">WPI Score (≥7): [copcs_paintender_7d_wpiscore]</span></p> <p><span style=""color: #8c1515;"">SSS Score (≥5): [copcs_sss_sumscore]</span></p> <p><span style=""color: #8c1515;""># of Regions (≥4): [copcs_paintender_7d_numregions]</span></p> <p><span style=""color: #8c1515;"">#4, must be YES(1): [copcs_fm_present3months]</span></p> <p> </p> <p><span style=""color: #8c1515;"">Condition 2:</span></p> <p><span style=""color: #8c1515;"">WPI Score (4,5,6): [copcs_paintender_7d_wpiscore]</span></p> <p><span style=""color: #8c1515;"">SSS Score (≥9): [copcs_sss_sumscore]</span></p> <p><span style=""color: #8c1515;""># of Regions (≥4): [copcs_paintender_7d_numregions]</span></p> <p><span style=""color: #8c1515;"">#4, must be YES(1): [copcs_fm_present3months]</span></p></div>","if(
    [copcs_paintender_7d_wpiscore]>=7 and
    [copcs_sss_sumscore]>=5 and
    [copcs_paintender_7d_numregions]>=4 and
    [copcs_fm_present3months]=1
,1,
    if(
        [copcs_paintender_7d_wpiscore]>=4 and
        [copcs_sss_sumscore]>=9 and
        [copcs_paintender_7d_numregions]>=4 and
        [copcs_fm_present3months]=1,1,0
    )
)",,,,,,,,,,,," @HIDDEN-SURVEY @CALCTEXT(if[new_copcs_fm_box]=1,""Yes"",""No"")"
new_copcs_fmss,copcs,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #8c1515;"">FM Severity Scale</span><br /><br /><span style=""color: #8c1515;"">SUM OF SSS, WPI = FM SEVERITY SCALE, 31 POSSIBLE POINTS.</span></p></div>","sum([copcs_sss_sumscore], [copcs_paintender_7d_wpiscore])",,,,,,,,,,,," @HIDDEN-SURVEY"
copcs_tmd_1m_painjawtemple,copcs,"<div class=""rich-text-field-label""><div style=""background-color: #cffbbb; height: 10px; width: 100%;""> </div> <p><span style=""text-decoration: underline;"">Instructions</span><span style=""font-weight: normal;"">: You have reached this module because you indicated having pain in areas associated with your jaw and/or temple. Please answer the following questions.</span></p></div>",radio,"<div class=""rich-text-field-label""><p style=""background-color: #cffbbb; margin-bottom: 0in; line-height: normal;""><span style=""font-weight: normal;"">1. In the </span><span style=""text-decoration: underline;"">last 30 days</span><span style=""font-weight: normal;"">, on average, how long did any pain last in your jaw or temple area on either side?</span></p></div>","0, No Pain|1, From very brief to more than a week, but it does stop|2, Continuous",,,,,,"[bodymap1(copcs02)]='1' or
[bodymap1(copcs03)]='1' or
[bodymap4(copcs20)]='1'",y,LV,,,,
copcs_tmd_30d_jawpainawakening,copcs,,radio,"<div class=""rich-text-field-label""><p style=""background-color: #cffbbb; margin-bottom: 0in; line-height: normal;""><span style=""font-weight: normal;"">2. In the </span><span style=""text-decoration: underline;"">last 30 days</span><span style=""font-weight: normal;"">, have you had pain or stiffness in your jaw upon awakening?</span></p></div>","0, No|1, Yes",,,,,,"[bodymap1(copcs02)]='1' or
[bodymap1(copcs03)]='1' or
[bodymap4(copcs20)]='1'",y,LV,,,,
copcs_tmd_30d_painchewfood,copcs,"<div class=""rich-text-field-label""><p style=""background-color: #cffbbb; margin-bottom: 0in; line-height: normal;""><span style=""font-weight: normal;"">3. In the </span><span style=""text-decoration: underline;"">last 30 days</span><span style=""font-weight: normal;"">, did the following activities change any pain (that is, make it better or make it worse) in your jaw or temple area on either side?</span></p> <p> </p> <p> </p></div>",radio,"<div class=""rich-text-field-label""><p style=""background-color: #cffbbb;""><span style=""font-weight: normal;"">a. Chewing hard or tough food</span></p></div>","0, No|1, Yes",,,,,,"[bodymap1(copcs02)]='1' or
[bodymap1(copcs03)]='1' or
[bodymap4(copcs20)]='1'",y,LV,,,,
copcs_tmd_30d_painopeningmouth,copcs,,radio,"<div class=""rich-text-field-label""><p style=""background-color: #cffbbb;""><span style=""font-weight: normal;"">b. Opening your mouth or moving your jaw forward or to the side</span></p></div>","0, No|1, Yes",,,,,,"[bodymap1(copcs02)]='1' or
[bodymap1(copcs03)]='1' or
[bodymap4(copcs20)]='1'",y,LV,,,,
copcs_tmd_30d_painclench,copcs,,radio,"<div class=""rich-text-field-label""><p style=""background-color: #cffbbb;""><span style=""font-weight: normal;"">c. Jaw habits such as holding teeth together, clenching/grinding, or chewing gum</span></p></div>","0, No|1, Yes",,,,,,"[bodymap1(copcs02)]='1' or
[bodymap1(copcs03)]='1' or
[bodymap4(copcs20)]='1'",y,LV,,,,
